run_id,patient_id,repetition,micro_f1_mean,micro_f1_std,hallucination_mean,omission_mean,drift_score_mean,latency_mean_s
20260522_161359,patient_01,1,0.35294117647058826,0.0,5.0,6.0,0.39285714285714285,4.324257899999793
20260522_161359,patient_01,5,0.125,0.0,6.0,8.0,0.9666666666666667,5.194521000004897
20260522_161359,patient_01,10,0.125,0.0,6.0,8.0,0.9666666666666667,5.370975300000282
20260522_161359,patient_01,16,0.125,0.0,6.0,8.0,0.930952380952381,4.853228899999522
20260522_161359,patient_02,1,0.7142857142857143,0.0,2.0,2.0,0.2222222222222222,2.112371700000949
20260522_161359,patient_02,5,0.14285714285714285,0.0,6.0,6.0,0.9230769230769231,3.6878069000013056
20260522_161359,patient_02,10,0.14285714285714285,0.0,6.0,6.0,0.9230769230769231,4.993182400001388
20260522_161359,patient_02,16,0.14285714285714285,0.0,6.0,6.0,0.9230769230769231,4.518825600003765
20260522_161359,patient_03,1,0.4444444444444444,0.0,5.0,5.0,0.35714285714285715,2.916223699998227
20260522_161359,patient_03,5,0.4444444444444444,0.0,5.0,5.0,0.35714285714285715,2.4455815000037546
20260522_161359,patient_03,10,0.4444444444444444,0.0,5.0,5.0,0.35714285714285715,2.671373199998925
20260522_161359,patient_03,16,0.4444444444444444,0.0,5.0,5.0,0.35714285714285715,2.6395516999982647
20260522_161359,patient_04,1,0.6666666666666666,0.0,2.0,2.0,0.25,1.6420369999977993
20260522_161359,patient_04,5,0.6666666666666666,0.0,2.0,2.0,0.25,1.565403200002038
20260522_161359,patient_04,10,0.6666666666666666,0.0,2.0,2.0,0.25,1.4765918999983114
20260522_161359,patient_04,16,0.6666666666666666,0.0,2.0,2.0,0.25,1.523792300002242
20260522_161359,patient_05,1,0.35294117647058826,0.0,5.0,6.0,0.39285714285714285,1.9613762000008137
20260522_161359,patient_05,5,0.0,0.0,8.0,9.0,1.0,2.9959367999981623
20260522_161359,patient_05,10,0.11764705882352941,0.0,7.0,8.0,0.8973214285714286,3.594268799999554
20260522_161359,patient_05,16,0.11764705882352941,0.0,7.0,8.0,0.8973214285714286,3.659617099998286
20260522_161359,patient_06,1,0.6,0.0,2.0,2.0,0.2857142857142857,1.8220244000040111
20260522_161359,patient_06,5,0.20000000000000004,0.0,4.0,4.0,0.8888888888888888,3.1240537999983644
20260522_161359,patient_06,10,0.20000000000000004,0.0,4.0,4.0,0.8888888888888888,3.064370300002338
20260522_161359,patient_06,16,0.20000000000000004,0.0,4.0,4.0,0.8888888888888888,3.062725399999181
20260522_161359,patient_07,1,0.5714285714285714,0.0,3.0,3.0,0.3,1.9384528000009595
20260522_161359,patient_07,5,0.5714285714285714,0.0,3.0,3.0,0.425,2.4567909999968833
20260522_161359,patient_07,10,0.2857142857142857,0.0,5.0,5.0,0.7803030303030303,3.6700969000012265
20260522_161359,patient_07,16,0.2857142857142857,0.0,5.0,5.0,0.7803030303030303,4.656886400000076
20260522_161359,patient_08,1,0.47058823529411764,0.0,4.0,5.0,0.34615384615384615,2.6469304999991436
20260522_161359,patient_08,5,0.47058823529411764,0.0,4.0,5.0,0.45726495726495725,2.4111973000035505
20260522_161359,patient_08,10,0.47058823529411764,0.0,4.0,5.0,0.45726495726495725,2.4510210000007646
20260522_161359,patient_08,16,0.47058823529411764,0.0,4.0,5.0,0.34615384615384615,2.9912944000025163
20260522_161359,patient_09,1,0.20000000000000004,0.0,4.0,4.0,0.4444444444444444,2.945421799995529
20260522_161359,patient_09,5,0.20000000000000004,0.0,4.0,4.0,0.6111111111111112,2.780290700000478
20260522_161359,patient_09,10,0.20000000000000004,0.0,4.0,4.0,0.7301587301587301,2.7462711000043782
20260522_161359,patient_09,16,0.20000000000000004,0.0,4.0,4.0,0.8888888888888888,2.8188944999928935
20260522_161359,patient_10,1,0.42857142857142855,0.0,4.0,4.0,0.36363636363636365,2.4635997000004863
20260522_161359,patient_10,5,0.42857142857142855,0.0,4.0,4.0,0.36363636363636365,2.274575100003858
20260522_161359,patient_10,10,0.26666666666666666,0.0,6.0,5.0,0.6730769230769231,3.8792485000012675
20260522_161359,patient_10,16,0.26666666666666666,0.0,6.0,5.0,0.6730769230769231,4.465320399998745
