run_id,patient_id,repetition,micro_f1_mean,micro_f1_std,hallucination_mean,omission_mean,drift_score_mean,latency_mean_s
20260520_172210,patient_01,1,0.0,0.0,0.0,9.0,0.5,2.0385242666667787
20260520_172210,patient_01,2,0.0,0.0,0.0,9.0,0.5,2.053072333333754
20260520_172210,patient_01,5,0.0,0.0,0.0,9.0,0.5,2.0483059999999873
20260520_172210,patient_01,10,0.0,0.0,0.0,9.0,0.5,2.040337299999919
20260520_172210,patient_01,16,0.0,0.0,0.0,9.0,0.5,2.042029599999599
20260520_172210,patient_01,32,0.0,0.0,0.0,9.0,0.5,2.0441483666666804
20260520_172210,patient_02,1,0.0,0.0,0.0,7.0,0.5,2.0421609333334345
20260520_172210,patient_02,2,0.0,0.0,0.0,7.0,0.5,2.0250091999999618
20260520_172210,patient_02,5,0.0,0.0,0.0,7.0,0.5,2.0498109333335983
20260520_172210,patient_02,10,0.0,0.0,0.0,7.0,0.5,2.038413666666808
20260520_172210,patient_02,16,0.0,0.0,0.0,7.0,0.5,2.0514644000001376
20260520_172210,patient_02,32,0.0,0.0,0.0,7.0,0.5,2.0533253666671953
20260520_172210,patient_03,1,0.0,0.0,0.0,9.0,0.5,2.0483551999999086
20260520_172210,patient_03,2,0.0,0.0,0.0,9.0,0.5,2.0434670333330964
20260520_172210,patient_03,5,0.0,0.0,0.0,9.0,0.5,2.0459981666669287
20260520_172210,patient_03,10,0.0,0.0,0.0,9.0,0.5,2.042107999999947
20260520_172210,patient_03,16,0.0,0.0,0.0,9.0,0.5,2.0521699666666486
20260520_172210,patient_03,32,0.0,0.0,0.0,9.0,0.5,2.048572166666721
20260520_172210,patient_04,1,0.0,0.0,0.0,6.0,0.5,2.035896899999898
20260520_172210,patient_04,2,0.0,0.0,0.0,6.0,0.5,2.0334237666666013
20260520_172210,patient_04,5,0.0,0.0,0.0,6.0,0.5,2.0416412999999616
20260520_172210,patient_04,10,0.0,0.0,0.0,6.0,0.5,2.051664333333671
20260520_172210,patient_04,16,0.0,0.0,0.0,6.0,0.5,2.051408133333401
20260520_172210,patient_04,32,0.0,0.0,0.0,6.0,0.5,2.0361103333331507
20260520_172210,patient_05,1,0.0,0.0,0.0,9.0,0.5,2.0540228666668554
20260520_172210,patient_05,2,0.0,0.0,0.0,9.0,0.5,2.0452015333333597
20260520_172210,patient_05,5,0.0,0.0,0.0,9.0,0.5,2.0426669333334453
20260520_172210,patient_05,10,0.0,0.0,0.0,9.0,0.5,2.0439988999996785
20260520_172210,patient_05,16,0.0,0.0,0.0,9.0,0.5,2.035920299999816
20260520_172210,patient_05,32,0.0,0.0,0.0,9.0,0.5,2.0350635999999818
20260520_172210,patient_06,1,0.0,0.0,0.0,5.0,0.5,2.05380806666714
20260520_172210,patient_06,2,0.0,0.0,0.0,5.0,0.5,2.0437494666663647
20260520_172210,patient_06,5,0.0,0.0,0.0,5.0,0.5,2.0277367333334646
20260520_172210,patient_06,10,0.0,0.0,0.0,5.0,0.5,2.058799466666642
20260520_172210,patient_06,16,0.0,0.0,0.0,5.0,0.5,2.0227760000000976
20260520_172210,patient_06,32,0.0,0.0,0.0,5.0,0.5,2.036032533333431
20260520_172210,patient_07,1,0.0,0.0,0.0,7.0,0.5,2.046340566666913
20260520_172210,patient_07,2,0.0,0.0,0.0,7.0,0.5,2.0341113333336884
20260520_172210,patient_07,5,0.0,0.0,0.0,7.0,0.5,2.032788999999866
20260520_172210,patient_07,10,0.0,0.0,0.0,7.0,0.5,2.0476018666665063
20260520_172210,patient_07,16,0.0,0.0,0.0,7.0,0.5,2.0372758000000126
20260520_172210,patient_07,32,0.0,0.0,0.0,7.0,0.5,2.0431874666671015
20260520_172210,patient_08,1,0.0,0.0,0.0,9.0,0.5,2.0438313666660783
20260520_172210,patient_08,2,0.0,0.0,0.0,9.0,0.5,2.051484800000253
20260520_172210,patient_08,5,0.0,0.0,0.0,9.0,0.5,2.0326101333333404
20260520_172210,patient_08,10,0.0,0.0,0.0,9.0,0.5,2.0488921666668225
20260520_172210,patient_08,16,0.0,0.0,0.0,9.0,0.5,2.050095199999608
20260520_172210,patient_08,32,0.0,0.0,0.0,9.0,0.5,2.036204533333148
20260520_172210,patient_09,1,0.0,0.0,0.0,5.0,0.5,2.033557699999316
20260520_172210,patient_09,2,0.0,0.0,0.0,5.0,0.5,2.0381299999996068
20260520_172210,patient_09,5,0.0,0.0,0.0,5.0,0.5,2.0475599333331047
20260520_172210,patient_09,10,0.0,0.0,0.0,5.0,0.5,2.024811799999952
20260520_172210,patient_09,16,0.0,0.0,0.0,5.0,0.5,2.0442546999996316
20260520_172210,patient_09,32,0.0,0.0,0.0,5.0,0.5,2.0196680666667817
20260520_172210,patient_10,1,0.0,0.0,0.0,7.0,0.5,2.0397783999997046
20260520_172210,patient_10,2,0.0,0.0,0.0,7.0,0.5,2.037337900000542
20260520_172210,patient_10,5,0.0,0.0,0.0,7.0,0.5,2.055814333333425
20260520_172210,patient_10,10,0.0,0.0,0.0,7.0,0.5,2.038194400000066
20260520_172210,patient_10,16,0.0,0.0,0.0,7.0,0.5,2.0362429000003126
20260520_172210,patient_10,32,0.0,0.0,0.0,7.0,0.5,2.048104733332972
